filename,sample,z_position,time_point,time_hours,light_intensity,cell_area,intensity_group
10_brightfield_z1_t000061.tif,10,1,61,10.166666666666666,0.6326121651091076,1392522,Medium
5_brightfield_z1_t000123.tif,5,1,123,20.5,0.7716107149955482,804799,High
15_brightfield_z1_t000082.tif,15,1,82,13.666666666666666,0.7268985758133352,322297,Medium
6_brightfield_z1_t000028.tif,6,1,28,4.666666666666667,0.7724659185359299,624059,High
7_brightfield_z1_t000115.tif,7,1,115,19.166666666666668,0.16164046078245653,428001,Very Low
8_brightfield_z1_t000004.tif,8,1,4,0.6666666666666666,0.27233842320748736,713874,Very Low
16_brightfield_z1_t000047.tif,16,1,47,7.833333333333333,0.4243918632628634,391724,Low
1_brightfield_z1_t000044.tif,1,1,44,7.333333333333333,0.37742523975885955,1209924,Low
10_brightfield_z1_t000056.tif,10,1,56,9.333333333333334,0.6326121651091076,1415182,Medium
13_brightfield_z1_t000021.tif,13,1,21,3.5,0.6522825423162754,1595551,Medium
2_brightfield_z1_t000121.tif,2,1,121,20.166666666666668,0.876934678643173,1408308,High
9_brightfield_z1_t000085.tif,9,1,85,14.166666666666666,0.32561501771508844,1588396,Very Low
4_brightfield_z1_t000118.tif,4,1,118,19.666666666666668,0.16585320075917387,797941,Very Low
15_brightfield_z1_t000101.tif,15,1,101,16.833333333333332,0.7268985758133352,399837,Medium
1_brightfield_z1_t000112.tif,1,1,112,18.666666666666668,0.37742523975885955,1447562,Low
11_brightfield_z1_t000109.tif,11,1,109,18.166666666666668,0.9193995210257941,1125037,Very High
11_brightfield_z1_t000073.tif,11,1,73,12.166666666666666,0.9193995210257941,1239785,Very High
10_brightfield_z1_t000083.tif,10,1,83,13.833333333333334,0.6326121651091076,1335807,Medium
8_brightfield_z1_t000036.tif,8,1,36,6.0,0.27233842320748736,818634,Very Low
13_brightfield_z1_t000125.tif,13,1,125,20.833333333333332,0.6522825423162754,691937,Medium
7_brightfield_z1_t000091.tif,7,1,91,15.166666666666666,0.16164046078245653,497619,Very Low
